user_review_count,user_useful,user_funny,user_cool,user_fans,user_avg_stars,business_stars,business_review_count,business_category,review_useful,review_funny,review_cool,review_stars
484,300,75,105,28,3.78,3,104,"American (Traditional)",0,0,0,4
484,300,75,105,28,3.78,3,104,Burgers,0,0,0,4
484,300,75,105,28,3.78,3,104,Restaurants,0,0,0,4
8,0,0,0,0,3.13,4.5,38,Himalayan/Nepalese,0,0,0,4
8,0,0,0,0,3.13,4.5,38,Indian,0,0,0,4
8,0,0,0,0,3.13,4.5,38,Restaurants,0,0,0,4
106,187,114,63,5,4.08,3.5,496,Nightlife,2,0,0,5
106,187,114,63,5,4.08,3.5,496,Food,2,0,0,5
106,187,114,63,5,4.08,3.5,496,Italian,2,0,0,5
106,187,114,63,5,4.08,3.5,496,Bars,2,0,0,5
106,187,114,63,5,4.08,3.5,496,Restaurants,2,0,0,5
106,187,114,63,5,4.08,3.5,496,Pizza,2,0,0,5
106,187,114,63,5,4.08,3.5,496,Beer,2,0,0,5
106,187,114,63,5,4.08,3.5,496,"Wine & Spirits",2,0,0,5
106,187,114,63,5,4.08,3.5,496,Vegan,2,0,0,5
13,0,0,0,0,3.38,4,660,"Gas Stations",0,0,0,5
13,0,0,0,0,3.38,4,660,Burgers,0,0,0,5
13,0,0,0,0,3.38,4,660,Automotive,0,0,0,5
13,0,0,0,0,3.38,4,660,"American (New)",0,0,0,5
13,0,0,0,0,3.38,4,660,Restaurants,0,0,0,5
13,0,0,0,0,3.38,4,660,Barbeque,0,0,0,5
13,0,0,0,0,3.38,4,660,"American (Traditional)",0,0,0,5
13,0,0,0,0,3.38,4,660,"Car Wash",0,0,0,5
16,0,0,0,0,4.47,4.5,262,"Cocktail Bars",1,1,1,5
16,0,0,0,0,4.47,4.5,262,Restaurants,1,1,1,5
16,0,0,0,0,4.47,4.5,262,"American (New)",1,1,1,5
16,0,0,0,0,4.47,4.5,262,Bars,1,1,1,5
16,0,0,0,0,4.47,4.5,262,Diners,1,1,1,5
16,0,0,0,0,4.47,4.5,262,Nightlife,1,1,1,5
312,61,45,28,36,3.85,4.5,150,Restaurants,1,0,0,5
312,61,45,28,36,3.85,4.5,150,Desserts,1,0,0,5
312,61,45,28,36,3.85,4.5,150,Tex-Mex,1,0,0,5
312,61,45,28,36,3.85,4.5,150,Hawaiian,1,0,0,5
312,61,45,28,36,3.85,4.5,150,Food,1,0,0,5
312,61,45,28,36,3.85,4.5,150,"Asian Fusion",1,0,0,5
312,61,45,28,36,3.85,4.5,150,Mexican,1,0,0,5
19,0,0,0,0,2.81,3,758,"American (New)",0,0,0,4
19,0,0,0,0,2.81,3,758,Restaurants,0,0,0,4
19,0,0,0,0,2.81,3,758,Steakhouses,0,0,0,4
19,0,0,0,0,2.81,3,758,"Comfort Food",0,0,0,4
20,6,2,0,0,4.19,4,66,"Pet Boarding/Pet Sitting",2,3,2,1
20,6,2,0,0,4.19,4,66,Pets,2,3,2,1
20,6,2,0,0,4.19,4,66,"Pet Groomers",2,3,2,1
20,6,2,0,0,4.19,4,66,"Pet Services",2,3,2,1
20,6,2,0,0,4.19,4,66,Veterinarians,2,3,2,1
22,5,2,1,0,3.55,2.5,6,"Beauty & Spas",5,0,0,2
22,5,2,1,0,3.55,2.5,6,Tanning,5,0,0,2
346,695,341,673,20,3.93,3,334,"Hotels & Travel",0,0,0,5
346,695,341,673,20,3.93,3,334,Hotels,0,0,0,5
346,695,341,673,20,3.93,3,334,"Event Planning & Services",0,0,0,5
143,17,1,0,0,3.03,3.5,57,Restaurants,3,1,1,1
143,17,1,0,0,3.03,3.5,57,Pizza,3,1,1,1
27,20,9,1,1,3.46,4,57,Halal,2,0,1,5
27,20,9,1,1,3.46,4,57,Restaurants,2,0,1,5
27,20,9,1,1,3.46,4,57,Salad,2,0,1,5
27,20,9,1,1,3.46,4,57,"Fast Food",2,0,1,5
27,20,9,1,1,3.46,4,57,Italian,2,0,1,5
27,20,9,1,1,3.46,4,57,Pizza,2,0,1,5
27,20,9,1,1,3.46,4,57,Sandwiches,2,0,1,5
71,17,5,6,3,3.77,3,5,"Canadian (New)",1,0,0,2
71,17,5,6,3,3.77,3,5,Pizza,1,0,0,2
71,17,5,6,3,3.77,3,5,Restaurants,1,0,0,2
277,283,117,264,14,3.38,4,224,"Beauty & Spas",4,4,3,2
277,283,117,264,14,3.38,4,224,Waxing,4,4,3,2
277,283,117,264,14,3.38,4,224,"Nail Salons",4,4,3,2
277,283,117,264,14,3.38,4,224,"Day Spas",4,4,3,2
277,283,117,264,14,3.38,4,224,"Hair Removal",4,4,3,2
13,0,0,0,1,4,4,1241,Restaurants,1,0,0,4
13,0,0,0,1,4,4,1241,Diners,1,0,0,4
13,0,0,0,1,4,4,1241,Poutineries,1,0,0,4
88,16,1,1,6,3.73,4,251,"Arts & Entertainment",1,1,1,1
88,16,1,1,6,3.73,4,251,Cinema,1,1,1,1
74,14,0,0,0,3.87,3.5,33,"Dry Cleaning & Laundry",0,0,0,5
74,14,0,0,0,3.87,3.5,33,"Local Services",0,0,0,5
74,14,0,0,0,3.87,3.5,33,"Laundry Services",0,0,0,5
11,14,14,4,0,3.27,4.5,507,Gluten-Free,0,0,0,5
11,14,14,4,0,3.27,4.5,507,Restaurants,0,0,0,5
11,14,14,4,0,3.27,4.5,507,Italian,0,0,0,5
11,14,14,4,0,3.27,4.5,507,Pizza,0,0,0,5
16,27,6,2,0,3.5,4.5,2345,"Breakfast & Brunch",0,0,0,1
16,27,6,2,0,3.5,4.5,2345,"American (Traditional)",0,0,0,1
16,27,6,2,0,3.5,4.5,2345,Sandwiches,0,0,0,1
16,27,6,2,0,3.5,4.5,2345,Restaurants,0,0,0,1
16,27,6,2,0,3.5,4.5,2345,Burgers,0,0,0,1
16,27,6,2,0,3.5,4.5,2345,Pizza,0,0,0,1
1192,345,67,454,61,3.67,4.5,171,Mediterranean,1,0,1,3
1192,345,67,454,61,3.67,4.5,171,French,1,0,1,3
1192,345,67,454,61,3.67,4.5,171,Restaurants,1,0,1,3
1192,345,67,454,61,3.67,4.5,171,Spanish,1,0,1,3
294,665,269,429,20,4.22,3.5,144,Cinema,3,1,1,4
294,665,269,429,20,4.22,3.5,144,"Arts & Entertainment",3,1,1,4
241,186,90,158,20,4.09,4,625,Cajun/Creole,1,0,0,4
241,186,90,158,20,4.09,4,625,Seafood,1,0,0,4
241,186,90,158,20,4.09,4,625,Restaurants,1,0,0,4
5,22,1,3,0,5,3.5,585,Japanese,1,0,0,5
5,22,1,3,0,5,3.5,585,"American (Traditional)",1,0,0,5
5,22,1,3,0,5,3.5,585,"Sushi Bars",1,0,0,5
5,22,1,3,0,5,3.5,585,Restaurants,1,0,0,5
25,69,7,5,2,3.75,1.5,601,Airports,0,0,0,1
25,69,7,5,2,3.75,1.5,601,Transportation,0,0,0,1
25,69,7,5,2,3.75,1.5,601,"Hotels & Travel",0,0,0,1
25,69,7,5,2,3.75,1.5,601,Airlines,0,0,0,1
16,4,2,0,0,2.71,2.5,48,"Health & Medical",5,0,0,2
16,4,2,0,0,2.71,2.5,48,"Beauty & Spas",5,0,0,2
16,4,2,0,0,2.71,2.5,48,Dermatologists,5,0,0,2
16,4,2,0,0,2.71,2.5,48,"Cosmetics & Beauty Supply",5,0,0,2
16,4,2,0,0,2.71,2.5,48,"Skin Care",5,0,0,2
16,4,2,0,0,2.71,2.5,48,Doctors,5,0,0,2
16,4,2,0,0,2.71,2.5,48,Shopping,5,0,0,2
2,0,0,0,0,3,4.5,24,Food,0,0,0,4
2,0,0,0,0,3,4.5,24,Sandwiches,0,0,0,4
2,0,0,0,0,3,4.5,24,Moroccan,0,0,0,4
2,0,0,0,0,3,4.5,24,Burgers,0,0,0,4
2,0,0,0,0,3,4.5,24,Restaurants,0,0,0,4
250,34,31,17,95,3.87,4,2235,Resorts,0,0,0,4
250,34,31,17,95,3.87,4,2235,"Day Spas",0,0,0,4
250,34,31,17,95,3.87,4,2235,Hotels,0,0,0,4
250,34,31,17,95,3.87,4,2235,"Event Planning & Services",0,0,0,4
250,34,31,17,95,3.87,4,2235,"Hotels & Travel",0,0,0,4
250,34,31,17,95,3.87,4,2235,"Beauty & Spas",0,0,0,4
35,13,4,0,2,2.63,4.5,3180,Restaurants,0,0,0,4
35,13,4,0,2,2.63,4.5,3180,Barbeque,0,0,0,4
35,13,4,0,2,2.63,4.5,3180,"Asian Fusion",0,0,0,4
35,13,4,0,2,2.63,4.5,3180,Japanese,0,0,0,4
35,13,4,0,2,2.63,4.5,3180,"Tapas/Small Plates",0,0,0,4
35,13,4,0,2,2.63,4.5,3180,Korean,0,0,0,4
368,133,39,58,17,3.52,4.5,23,Food,5,2,3,4
368,133,39,58,17,3.52,4.5,23,"Ice Cream & Frozen Yogurt",5,2,3,4
14,123,5,1,0,4.06,3.5,435,Restaurants,0,0,0,5
14,123,5,1,0,4.06,3.5,435,"Sushi Bars",0,0,0,5
14,123,5,1,0,4.06,3.5,435,Desserts,0,0,0,5
14,123,5,1,0,4.06,3.5,435,Food,0,0,0,5
27,0,0,3,0,4.37,4.5,34,"Arts & Entertainment",1,1,1,5
27,0,0,3,0,4.37,4.5,34,Cinema,1,1,1,5
131,5,14,8,8,3.36,3.5,36,"Arts & Entertainment",2,1,1,3
131,5,14,8,8,3.36,3.5,36,"Performing Arts",2,1,1,3
12,2,1,2,2,4,2.5,56,Thai,4,2,2,4
12,2,1,2,2,4,2.5,56,Restaurants,4,2,2,4
2,0,0,0,0,5,3.5,205,Nightlife,0,0,0,5
2,0,0,0,0,5,3.5,205,Bars,0,0,0,5
2,0,0,0,0,5,3.5,205,Italian,0,0,0,5
2,0,0,0,0,5,3.5,205,Restaurants,0,0,0,5
2,0,0,0,0,5,3.5,205,"Wine Bars",0,0,0,5
5,0,0,0,0,4,4,2698,"American (New)",0,0,0,5
5,0,0,0,0,4,4,2698,Steakhouses,0,0,0,5
5,0,0,0,0,4,4,2698,Restaurants,0,0,0,5
5,0,0,0,0,4,4,2698,Soup,0,0,0,5
5,0,0,0,0,4,4,2698,Salad,0,0,0,5
55,30,1,1,1,4.31,4.5,73,"Specialty Food",0,0,0,5
55,30,1,1,1,4.31,4.5,73,Restaurants,0,0,0,5
55,30,1,1,1,4.31,4.5,73,Food,0,0,0,5
55,30,1,1,1,4.31,4.5,73,"Health Markets",0,0,0,5
55,30,1,1,1,4.31,4.5,73,"Juice Bars & Smoothies",0,0,0,5
55,30,1,1,1,4.31,4.5,73,Vegan,0,0,0,5
89,23,7,3,4,3.12,3,71,"Active Life",2,0,0,2
89,23,7,3,4,3.12,3,71,"Arts & Entertainment",2,0,0,2
89,23,7,3,4,3.12,3,71,Arcades,2,0,0,2
89,23,7,3,4,3.12,3,71,Bowling,2,0,0,2
89,23,7,3,4,3.12,3,71,"Venues & Event Spaces",2,0,0,2
89,23,7,3,4,3.12,3,71,"Event Planning & Services",2,0,0,2
3,0,0,0,0,4,4,32,Restaurants,0,0,0,4
3,0,0,0,0,4,4,32,Colombian,0,0,0,4
3,0,0,0,0,4,4,32,"Latin American",0,0,0,4
3,0,0,0,0,4,4,32,"Tapas Bars",0,0,0,4
3,0,0,0,0,4,4,32,Seafood,0,0,0,4
14,10,0,0,1,4,3,802,"Arts & Entertainment",0,0,0,3
14,10,0,0,1,4,3,802,"Performing Arts",0,0,0,3
14,10,0,0,1,4,3,802,Restaurants,0,0,0,3
14,10,0,0,1,4,3,802,"American (Traditional)",0,0,0,3
14,10,0,0,1,4,3,802,Burgers,0,0,0,3
6,0,0,0,0,3.5,4,29,Fashion,0,0,0,5
6,0,0,0,0,3.5,4,29,"Sporting Goods",0,0,0,5
6,0,0,0,0,3.5,4,29,"Shoe Stores",0,0,0,5
6,0,0,0,0,3.5,4,29,"Outlet Stores",0,0,0,5
6,0,0,0,0,3.5,4,29,Shopping,0,0,0,5
6,0,0,0,0,3.5,4,29,"Sports Wear",0,0,0,5
8,0,0,0,0,4.13,4,201,"Local Flavor",0,0,0,4
8,0,0,0,0,4.13,4,201,"Breakfast & Brunch",0,0,0,4
8,0,0,0,0,4.13,4,201,Restaurants,0,0,0,4
8,0,0,0,0,4.13,4,201,Bakeries,0,0,0,4
8,0,0,0,0,4.13,4,201,Food,0,0,0,4
116,261,266,255,15,4.07,4,135,Food,3,1,2,4
116,261,266,255,15,4.07,4,135,"Coffee & Tea",3,1,2,4
2,0,0,0,0,1,3,2103,"Hotels & Travel",0,0,0,1
2,0,0,0,0,1,3,2103,Airports,0,0,0,1
3,1,2,0,0,3.5,3,114,Restaurants,2,0,0,3
3,1,2,0,0,3.5,3,114,"Sushi Bars",2,0,0,3
3,1,2,0,0,3.5,3,114,Japanese,2,0,0,3
3,1,2,0,0,3.5,3,114,"Asian Fusion",2,0,0,3
23,0,0,0,1,3.38,3.5,327,Restaurants,1,1,0,1
23,0,0,0,1,3.38,3.5,327,Thai,1,1,0,1
71,4,0,5,1,4.22,5,3,Reiki,0,0,0,5
71,4,0,5,1,4.22,5,3,Reflexology,0,0,0,5
71,4,0,5,1,4.22,5,3,"Beauty & Spas",0,0,0,5
71,4,0,5,1,4.22,5,3,Massage,0,0,0,5
71,4,0,5,1,4.22,5,3,Doctors,0,0,0,5
71,4,0,5,1,4.22,5,3,Naturopathic/Holistic,0,0,0,5
71,4,0,5,1,4.22,5,3,"Massage Therapy",0,0,0,5
71,4,0,5,1,4.22,5,3,"Health & Medical",0,0,0,5
151,51,8,11,4,3.96,4,57,Chinese,1,1,1,2
151,51,8,11,4,3.96,4,57,Barbeque,1,1,1,2
151,51,8,11,4,3.96,4,57,Restaurants,1,1,1,2
39,9,0,0,0,2.1,4,95,Nightlife,0,0,0,1
39,9,0,0,0,2.1,4,95,Bars,0,0,0,1
39,9,0,0,0,2.1,4,95,Restaurants,0,0,0,1
39,9,0,0,0,2.1,4,95,"Wine Bars",0,0,0,1
39,9,0,0,0,2.1,4,95,Steakhouses,0,0,0,1
39,9,0,0,0,2.1,4,95,Seafood,0,0,0,1
5,0,0,1,0,3,3.5,890,Seafood,2,0,0,1
5,0,0,1,0,3,3.5,890,Restaurants,2,0,0,1
5,0,0,1,0,3,3.5,890,"American (New)",2,0,0,1
21,52,3,43,1,3.35,2.5,78,Seafood,1,0,2,3
21,52,3,43,1,3.35,2.5,78,Restaurants,1,0,2,3
451,527,268,173,42,3.68,2.5,263,"Auto Repair",7,0,0,1
451,527,268,173,42,3.68,2.5,263,"Car Dealers",7,0,0,1
451,527,268,173,42,3.68,2.5,263,Automotive,7,0,0,1
419,49,24,13,22,3.83,4.5,353,"Arts & Entertainment",2,1,1,4
419,49,24,13,22,3.83,4.5,353,Museums,2,1,1,4
45,167,23,126,0,3.67,4,6417,Food,0,0,0,4
45,167,23,126,0,3.67,4,6417,Restaurants,0,0,0,4
45,167,23,126,0,3.67,4,6417,Buffets,0,0,0,4
45,167,23,126,0,3.67,4,6417,"Breakfast & Brunch",0,0,0,4
45,167,23,126,0,3.67,4,6417,Sandwiches,0,0,0,4
4,0,0,0,0,2.5,1.5,46,"RV Rental",2,0,0,2
4,0,0,0,0,2.5,1.5,46,"RV Repair",2,0,0,2
4,0,0,0,0,2.5,1.5,46,"Hotels & Travel",2,0,0,2
4,0,0,0,0,2.5,1.5,46,"Auto Repair",2,0,0,2
4,0,0,0,0,2.5,1.5,46,Automotive,2,0,0,2
4,0,0,0,0,2.5,1.5,46,"Auto Parts & Supplies",2,0,0,2
4,0,0,0,0,2.5,1.5,46,"RV Dealers",2,0,0,2
36,1,0,0,0,4.33,3,17,"Hardware Stores",0,0,0,5
36,1,0,0,0,4.33,3,17,"Home & Garden",0,0,0,5
36,1,0,0,0,4.33,3,17,"Nurseries & Gardening",0,0,0,5
36,1,0,0,0,4.33,3,17,Appliances,0,0,0,5
36,1,0,0,0,4.33,3,17,Shopping,0,0,0,5
2,0,0,0,0,3.67,5,4,"Local Services",0,0,0,5
2,0,0,0,0,3.67,5,4,"Home & Garden",0,0,0,5
2,0,0,0,0,3.67,5,4,Shopping,0,0,0,5
2,0,0,0,0,3.67,5,4,"Professional Services",0,0,0,5
2,0,0,0,0,3.67,5,4,"Office Cleaning",0,0,0,5
2,0,0,0,0,3.67,5,4,"Home Cleaning",0,0,0,5
2,0,0,0,0,3.67,5,4,"Carpet Cleaning",0,0,0,5
2,0,0,0,0,3.67,5,4,"Home Services",0,0,0,5
9,0,0,0,0,2,1.5,3,Contractors,1,0,0,3
9,0,0,0,0,2,1.5,3,"Home Services",1,0,0,3
4,0,0,0,0,4.6,3.5,3,"Laundry Services",0,0,0,5
4,0,0,0,0,4.6,3.5,3,"Local Services",0,0,0,5
